MUNIDESC,SALE_YEAR,SALE_MONTH,sale_count
10TH WARD -  MCKEESPORT,2016,11,0
10TH WARD -  MCKEESPORT,2016,12,0
10TH WARD -  MCKEESPORT,2017,1,0
10TH WARD -  MCKEESPORT,2017,2,0
10TH WARD -  MCKEESPORT,2017,3,0
10TH WARD -  MCKEESPORT,2017,4,0
10TH WARD -  MCKEESPORT,2017,5,0
10TH WARD -  MCKEESPORT,2017,6,1
10TH WARD -  MCKEESPORT,2017,7,1
10TH WARD -  MCKEESPORT,2017,8,0
10TH WARD -  MCKEESPORT,2017,9,0
10TH WARD -  MCKEESPORT,2017,10,0
10TH WARD -  MCKEESPORT,2017,11,1
10TH WARD -  MCKEESPORT,2017,12,0
10TH WARD -  MCKEESPORT,2018,1,0
10TH WARD -  MCKEESPORT,2018,2,0
10TH WARD -  MCKEESPORT,2018,3,0
10TH WARD -  MCKEESPORT,2018,4,0
10TH WARD -  MCKEESPORT,2018,5,0
10TH WARD -  MCKEESPORT,2018,6,1
10TH WARD -  MCKEESPORT,2018,7,0
10TH WARD -  MCKEESPORT,2018,8,2
10TH WARD -  MCKEESPORT,2018,9,0
10TH WARD -  MCKEESPORT,2018,10,1
10TH WARD -  MCKEESPORT,2018,11,1
10TH WARD -  MCKEESPORT,2018,12,0
10TH WARD -  MCKEESPORT,2019,1,0
10TH WARD -  MCKEESPORT,2019,2,0
10TH WARD -  MCKEESPORT,2019,3,0
10TH WARD -  MCKEESPORT,2019,4,0
10TH WARD -  MCKEESPORT,2019,5,0
10TH WARD -  MCKEESPORT,2019,6,0
10TH WARD -  MCKEESPORT,2019,7,1
10TH WARD -  MCKEESPORT,2019,8,0
10TH WARD -  MCKEESPORT,2019,9,0
10TH WARD -  MCKEESPORT,2019,10,0
10TH WARD -  MCKEESPORT,2019,11,0
10TH WARD -  MCKEESPORT,2019,12,0
10TH WARD -  MCKEESPORT,2020,1,0
10TH WARD -  MCKEESPORT,2020,2,1
10TH WARD -  MCKEESPORT,2020,3,1
10TH WARD -  MCKEESPORT,2020,4,0
10TH WARD -  MCKEESPORT,2020,5,0
10TH WARD -  MCKEESPORT,2020,6,0
10TH WARD -  MCKEESPORT,2020,7,0
10TH WARD -  MCKEESPORT,2020,8,0
10TH WARD -  MCKEESPORT,2020,9,0
10TH WARD -  MCKEESPORT,2020,10,0
10TH WARD -  MCKEESPORT,2020,11,0
10TH WARD -  MCKEESPORT,2020,12,0
10TH WARD -  MCKEESPORT,2021,1,0
10TH WARD -  MCKEESPORT,2021,2,0
10TH WARD -  MCKEESPORT,2021,3,0
10TH WARD -  MCKEESPORT,2021,4,0
10TH WARD -  MCKEESPORT,2021,5,1
10TH WARD -  MCKEESPORT,2021,6,0
10TH WARD -  MCKEESPORT,2021,7,0
10TH WARD -  MCKEESPORT,2021,8,0
10TH WARD -  MCKEESPORT,2021,9,0
10TH WARD -  MCKEESPORT,2021,10,0
10TH WARD -  MCKEESPORT,2021,11,0
10TH WARD -  MCKEESPORT,2021,12,0
10TH WARD -  MCKEESPORT,2022,1,2
10TH WARD -  MCKEESPORT,2022,2,0
10TH WARD -  MCKEESPORT,2022,3,0
10TH WARD -  MCKEESPORT,2022,4,0
10TH WARD -  MCKEESPORT,2022,5,0
10TH WARD -  MCKEESPORT,2022,6,0
10TH WARD -  MCKEESPORT,2022,7,0
10TH WARD -  MCKEESPORT,2022,8,0
10TH WARD -  MCKEESPORT,2022,9,0
10TH WARD -  MCKEESPORT,2022,10,0
10TH WARD -  MCKEESPORT,2022,11,1
10TH WARD -  MCKEESPORT,2022,12,1
10TH WARD -  MCKEESPORT,2023,1,0
10TH WARD -  MCKEESPORT,2023,2,0
10TH WARD -  MCKEESPORT,2023,3,0
10TH WARD -  MCKEESPORT,2023,4,0
10TH WARD -  MCKEESPORT,2023,5,0
10TH WARD -  MCKEESPORT,2023,6,0
10TH WARD -  MCKEESPORT,2023,7,0
10TH WARD -  MCKEESPORT,2023,8,1
10TH WARD -  MCKEESPORT,2023,9,1
10TH WARD -  MCKEESPORT,2023,10,1
10TH WARD -  MCKEESPORT,2023,11,1
10TH WARD -  MCKEESPORT,2023,12,0
10TH WARD -  MCKEESPORT,2024,1,0
10TH WARD -  MCKEESPORT,2024,2,2
10TH WARD -  MCKEESPORT,2024,3,0
10TH WARD -  MCKEESPORT,2024,4,0
10TH WARD -  MCKEESPORT,2024,5,1
10TH WARD -  MCKEESPORT,2024,6,0
10TH WARD -  MCKEESPORT,2024,7,0
10TH WARD -  MCKEESPORT,2024,8,0
10TH WARD -  MCKEESPORT,2024,9,1
10TH WARD -  MCKEESPORT,2024,10,0
10TH WARD -  MCKEESPORT,2024,11,0
10TH WARD -  MCKEESPORT,2024,12,0
10TH WARD -  MCKEESPORT,2025,1,1
10TH WARD -  MCKEESPORT,2025,2,0
10TH WARD -  MCKEESPORT,2025,3,0
10TH WARD -  MCKEESPORT,2025,4,0
10TH WARD -  MCKEESPORT,2025,5,1
10TH WARD -  MCKEESPORT,2025,6,0
10TH WARD -  MCKEESPORT,2025,7,0
10TH WARD -  MCKEESPORT,2025,8,0
10TH WARD -  MCKEESPORT,2025,9,0
10TH WARD -  MCKEESPORT,2025,10,0
10TH WARD -  MCKEESPORT,2025,11,0
10TH WARD -  MCKEESPORT,2025,12,0
10TH WARD - PITTSBURGH,2012,1,7
10TH WARD - PITTSBURGH,2012,2,11
10TH WARD - PITTSBURGH,2012,3,10
10TH WARD - PITTSBURGH,2012,4,11
10TH WARD - PITTSBURGH,2012,5,17
10TH WARD - PITTSBURGH,2012,6,19
10TH WARD - PITTSBURGH,2012,7,7
10TH WARD - PITTSBURGH,2012,8,18
10TH WARD - PITTSBURGH,2012,9,6
10TH WARD - PITTSBURGH,2012,10,10
10TH WARD - PITTSBURGH,2012,11,1
10TH WARD - PITTSBURGH,2012,12,1
10TH WARD - PITTSBURGH,2013,1,4
10TH WARD - PITTSBURGH,2013,2,2
10TH WARD - PITTSBURGH,2013,3,8
10TH WARD - PITTSBURGH,2013,4,4
10TH WARD - PITTSBURGH,2013,5,6
10TH WARD - PITTSBURGH,2013,6,2
10TH WARD - PITTSBURGH,2013,7,7
10TH WARD - PITTSBURGH,2013,8,4
10TH WARD - PITTSBURGH,2013,9,1
10TH WARD - PITTSBURGH,2013,10,8
10TH WARD - PITTSBURGH,2013,11,7
10TH WARD - PITTSBURGH,2013,12,10
10TH WARD - PITTSBURGH,2014,1,0
10TH WARD - PITTSBURGH,2014,2,1
10TH WARD - PITTSBURGH,2014,3,1
10TH WARD - PITTSBURGH,2014,4,0
10TH WARD - PITTSBURGH,2014,5,2
10TH WARD - PITTSBURGH,2014,6,5
10TH WARD - PITTSBURGH,2014,7,3
10TH WARD - PITTSBURGH,2014,8,4
10TH WARD - PITTSBURGH,2014,9,6
10TH WARD - PITTSBURGH,2014,10,4
10TH WARD - PITTSBURGH,2014,11,1
10TH WARD - PITTSBURGH,2014,12,0
10TH WARD - PITTSBURGH,2015,1,1
10TH WARD - PITTSBURGH,2015,2,0
10TH WARD - PITTSBURGH,2015,3,2
10TH WARD - PITTSBURGH,2015,4,3
10TH WARD - PITTSBURGH,2015,5,6
10TH WARD - PITTSBURGH,2015,6,8
10TH WARD - PITTSBURGH,2015,7,0
10TH WARD - PITTSBURGH,2015,8,5
10TH WARD - PITTSBURGH,2015,9,3
10TH WARD - PITTSBURGH,2015,10,5
10TH WARD - PITTSBURGH,2015,11,2
10TH WARD - PITTSBURGH,2015,12,1
10TH WARD - PITTSBURGH,2016,1,2
10TH WARD - PITTSBURGH,2016,2,2
10TH WARD - PITTSBURGH,2016,3,1
10TH WARD - PITTSBURGH,2016,4,5
10TH WARD - PITTSBURGH,2016,5,4
10TH WARD - PITTSBURGH,2016,6,6
10TH WARD - PITTSBURGH,2016,7,6
10TH WARD - PITTSBURGH,2016,8,6
10TH WARD - PITTSBURGH,2016,9,6
10TH WARD - PITTSBURGH,2016,10,3
10TH WARD - PITTSBURGH,2016,11,5
10TH WARD - PITTSBURGH,2016,12,0
10TH WARD - PITTSBURGH,2017,1,5
10TH WARD - PITTSBURGH,2017,2,7
10TH WARD - PITTSBURGH,2017,3,4
10TH WARD - PITTSBURGH,2017,4,2
10TH WARD - PITTSBURGH,2017,5,5
10TH WARD - PITTSBURGH,2017,6,3
10TH WARD - PITTSBURGH,2017,7,2
10TH WARD - PITTSBURGH,2017,8,5
10TH WARD - PITTSBURGH,2017,9,2
10TH WARD - PITTSBURGH,2017,10,3
10TH WARD - PITTSBURGH,2017,11,3
10TH WARD - PITTSBURGH,2017,12,3
10TH WARD - PITTSBURGH,2018,1,1
10TH WARD - PITTSBURGH,2018,2,3
10TH WARD - PITTSBURGH,2018,3,5
10TH WARD - PITTSBURGH,2018,4,2
10TH WARD - PITTSBURGH,2018,5,6
10TH WARD - PITTSBURGH,2018,6,5
10TH WARD - PITTSBURGH,2018,7,5
10TH WARD - PITTSBURGH,2018,8,16
10TH WARD - PITTSBURGH,2018,9,9
10TH WARD - PITTSBURGH,2018,10,4
10TH WARD - PITTSBURGH,2018,11,1
10TH WARD - PITTSBURGH,2018,12,4
10TH WARD - PITTSBURGH,2019,1,1
10TH WARD - PITTSBURGH,2019,2,3
10TH WARD - PITTSBURGH,2019,3,2
10TH WARD - PITTSBURGH,2019,4,8
10TH WARD - PITTSBURGH,2019,5,1
10TH WARD - PITTSBURGH,2019,6,0
10TH WARD - PITTSBURGH,2019,7,4
10TH WARD - PITTSBURGH,2019,8,1
10TH WARD - PITTSBURGH,2019,9,4
10TH WARD - PITTSBURGH,2019,10,2
10TH WARD - PITTSBURGH,2019,11,2
10TH WARD - PITTSBURGH,2019,12,10
10TH WARD - PITTSBURGH,2020,1,1
10TH WARD - PITTSBURGH,2020,2,3
10TH WARD - PITTSBURGH,2020,3,5
10TH WARD - PITTSBURGH,2020,4,6
10TH WARD - PITTSBURGH,2020,5,4
10TH WARD - PITTSBURGH,2020,6,4
10TH WARD - PITTSBURGH,2020,7,6
10TH WARD - PITTSBURGH,2020,8,10
10TH WARD - PITTSBURGH,2020,9,8
10TH WARD - PITTSBURGH,2020,10,3
10TH WARD - PITTSBURGH,2020,11,2
10TH WARD - PITTSBURGH,2020,12,9
10TH WARD - PITTSBURGH,2021,1,3
10TH WARD - PITTSBURGH,2021,2,4
10TH WARD - PITTSBURGH,2021,3,4
10TH WARD - PITTSBURGH,2021,4,1
10TH WARD - PITTSBURGH,2021,5,3
10TH WARD - PITTSBURGH,2021,6,7
10TH WARD - PITTSBURGH,2021,7,7
10TH WARD - PITTSBURGH,2021,8,6
10TH WARD - PITTSBURGH,2021,9,7
10TH WARD - PITTSBURGH,2021,10,4
10TH WARD - PITTSBURGH,2021,11,4
10TH WARD - PITTSBURGH,2021,12,10
10TH WARD - PITTSBURGH,2022,1,6
10TH WARD - PITTSBURGH,2022,2,6
10TH WARD - PITTSBURGH,2022,3,14
10TH WARD - PITTSBURGH,2022,4,14
10TH WARD - PITTSBURGH,2022,5,15
10TH WARD - PITTSBURGH,2022,6,10
10TH WARD - PITTSBURGH,2022,7,10
10TH WARD - PITTSBURGH,2022,8,13
10TH WARD - PITTSBURGH,2022,9,12
10TH WARD - PITTSBURGH,2022,10,10
10TH WARD - PITTSBURGH,2022,11,11
10TH WARD - PITTSBURGH,2022,12,6
10TH WARD - PITTSBURGH,2023,1,8
10TH WARD - PITTSBURGH,2023,2,7
10TH WARD - PITTSBURGH,2023,3,10
10TH WARD - PITTSBURGH,2023,4,16
10TH WARD - PITTSBURGH,2023,5,11
10TH WARD - PITTSBURGH,2023,6,7
10TH WARD - PITTSBURGH,2023,7,16
10TH WARD - PITTSBURGH,2023,8,11
10TH WARD - PITTSBURGH,2023,9,7
10TH WARD - PITTSBURGH,2023,10,7
10TH WARD - PITTSBURGH,2023,11,5
10TH WARD - PITTSBURGH,2023,12,4
10TH WARD - PITTSBURGH,2024,1,9
10TH WARD - PITTSBURGH,2024,2,10
10TH WARD - PITTSBURGH,2024,3,11
10TH WARD - PITTSBURGH,2024,4,9
10TH WARD - PITTSBURGH,2024,5,18
10TH WARD - PITTSBURGH,2024,6,10
10TH WARD - PITTSBURGH,2024,7,11
10TH WARD - PITTSBURGH,2024,8,5
10TH WARD - PITTSBURGH,2024,9,7
10TH WARD - PITTSBURGH,2024,10,9
10TH WARD - PITTSBURGH,2024,11,5
10TH WARD - PITTSBURGH,2024,12,8
10TH WARD - PITTSBURGH,2025,1,12
10TH WARD - PITTSBURGH,2025,2,12
10TH WARD - PITTSBURGH,2025,3,6
10TH WARD - PITTSBURGH,2025,4,15
10TH WARD - PITTSBURGH,2025,5,16
10TH WARD - PITTSBURGH,2025,6,0
10TH WARD - PITTSBURGH,2025,7,0
10TH WARD - PITTSBURGH,2025,8,0
10TH WARD - PITTSBURGH,2025,9,0
10TH WARD - PITTSBURGH,2025,10,0
10TH WARD - PITTSBURGH,2025,11,0
10TH WARD - PITTSBURGH,2025,12,0
11TH WARD  - MCKEESPORT,2012,1,0
11TH WARD  - MCKEESPORT,2012,2,0
11TH WARD  - MCKEESPORT,2012,3,3
11TH WARD  - MCKEESPORT,2012,4,2
11TH WARD  - MCKEESPORT,2012,5,0
11TH WARD  - MCKEESPORT,2012,6,3
11TH WARD  - MCKEESPORT,2012,7,0
11TH WARD  - MCKEESPORT,2012,8,0
11TH WARD  - MCKEESPORT,2012,9,1
11TH WARD  - MCKEESPORT,2012,10,1
11TH WARD  - MCKEESPORT,2012,11,0
11TH WARD  - MCKEESPORT,2012,12,0
11TH WARD  - MCKEESPORT,2013,1,0
11TH WARD  - MCKEESPORT,2013,2,2
11TH WARD  - MCKEESPORT,2013,3,0
11TH WARD  - MCKEESPORT,2013,4,2
11TH WARD  - MCKEESPORT,2013,5,1
11TH WARD  - MCKEESPORT,2013,6,0
11TH WARD  - MCKEESPORT,2013,7,0
11TH WARD  - MCKEESPORT,2013,8,0
11TH WARD  - MCKEESPORT,2013,9,0
11TH WARD  - MCKEESPORT,2013,10,0
11TH WARD  - MCKEESPORT,2013,11,0
11TH WARD  - MCKEESPORT,2013,12,2
11TH WARD  - MCKEESPORT,2014,1,0
11TH WARD  - MCKEESPORT,2014,2,0
11TH WARD  - MCKEESPORT,2014,3,2
11TH WARD  - MCKEESPORT,2014,4,0
11TH WARD  - MCKEESPORT,2014,5,0
11TH WARD  - MCKEESPORT,2014,6,0
11TH WARD  - MCKEESPORT,2014,7,0
11TH WARD  - MCKEESPORT,2014,8,0
11TH WARD  - MCKEESPORT,2014,9,1
11TH WARD  - MCKEESPORT,2014,10,0
11TH WARD  - MCKEESPORT,2014,11,0
11TH WARD  - MCKEESPORT,2014,12,0
11TH WARD  - MCKEESPORT,2015,1,0
11TH WARD  - MCKEESPORT,2015,2,1
11TH WARD  - MCKEESPORT,2015,3,0
11TH WARD  - MCKEESPORT,2015,4,0
11TH WARD  - MCKEESPORT,2015,5,0
11TH WARD  - MCKEESPORT,2015,6,0
11TH WARD  - MCKEESPORT,2015,7,0
11TH WARD  - MCKEESPORT,2015,8,0
11TH WARD  - MCKEESPORT,2015,9,0
11TH WARD  - MCKEESPORT,2015,10,2
11TH WARD  - MCKEESPORT,2015,11,0
11TH WARD  - MCKEESPORT,2015,12,0
11TH WARD  - MCKEESPORT,2016,1,0
11TH WARD  - MCKEESPORT,2016,2,0
11TH WARD  - MCKEESPORT,2016,3,0
11TH WARD  - MCKEESPORT,2016,4,0
11TH WARD  - MCKEESPORT,2016,5,0
11TH WARD  - MCKEESPORT,2016,6,0
11TH WARD  - MCKEESPORT,2016,7,1
11TH WARD  - MCKEESPORT,2016,8,0
11TH WARD  - MCKEESPORT,2016,9,0
11TH WARD  - MCKEESPORT,2016,10,0
11TH WARD  - MCKEESPORT,2016,11,0
11TH WARD  - MCKEESPORT,2016,12,0
11TH WARD  - MCKEESPORT,2017,1,0
11TH WARD  - MCKEESPORT,2017,2,0
11TH WARD  - MCKEESPORT,2017,3,0
11TH WARD  - MCKEESPORT,2017,4,0
11TH WARD  - MCKEESPORT,2017,5,0
11TH WARD  - MCKEESPORT,2017,6,0
11TH WARD  - MCKEESPORT,2017,7,0
11TH WARD  - MCKEESPORT,2017,8,0
11TH WARD  - MCKEESPORT,2017,9,0
11TH WARD  - MCKEESPORT,2017,10,0
11TH WARD  - MCKEESPORT,2017,11,1
11TH WARD  - MCKEESPORT,2017,12,0
11TH WARD  - MCKEESPORT,2018,1,1
11TH WARD  - MCKEESPORT,2018,2,2
11TH WARD  - MCKEESPORT,2018,3,1
11TH WARD  - MCKEESPORT,2018,4,1
11TH WARD  - MCKEESPORT,2018,5,0
11TH WARD  - MCKEESPORT,2018,6,0
11TH WARD  - MCKEESPORT,2018,7,1
11TH WARD  - MCKEESPORT,2018,8,0
11TH WARD  - MCKEESPORT,2018,9,2
11TH WARD  - MCKEESPORT,2018,10,0
11TH WARD  - MCKEESPORT,2018,11,0
11TH WARD  - MCKEESPORT,2018,12,0
11TH WARD  - MCKEESPORT,2019,1,0
11TH WARD  - MCKEESPORT,2019,2,0
11TH WARD  - MCKEESPORT,2019,3,0
11TH WARD  - MCKEESPORT,2019,4,0
11TH WARD  - MCKEESPORT,2019,5,0
11TH WARD  - MCKEESPORT,2019,6,0
11TH WARD  - MCKEESPORT,2019,7,1
11TH WARD  - MCKEESPORT,2019,8,1
11TH WARD  - MCKEESPORT,2019,9,0
11TH WARD  - MCKEESPORT,2019,10,3
11TH WARD  - MCKEESPORT,2019,11,1
11TH WARD  - MCKEESPORT,2019,12,0
11TH WARD  - MCKEESPORT,2020,1,1
11TH WARD  - MCKEESPORT,2020,2,1
11TH WARD  - MCKEESPORT,2020,3,0
11TH WARD  - MCKEESPORT,2020,4,0
11TH WARD  - MCKEESPORT,2020,5,0
11TH WARD  - MCKEESPORT,2020,6,0
11TH WARD  - MCKEESPORT,2020,7,0
11TH WARD  - MCKEESPORT,2020,8,1
11TH WARD  - MCKEESPORT,2020,9,3
11TH WARD  - MCKEESPORT,2020,10,2
11TH WARD  - MCKEESPORT,2020,11,2
11TH WARD  - MCKEESPORT,2020,12,0
11TH WARD  - MCKEESPORT,2021,1,0
11TH WARD  - MCKEESPORT,2021,2,0
11TH WARD  - MCKEESPORT,2021,3,1
11TH WARD  - MCKEESPORT,2021,4,0
11TH WARD  - MCKEESPORT,2021,5,1
11TH WARD  - MCKEESPORT,2021,6,1
11TH WARD  - MCKEESPORT,2021,7,0
11TH WARD  - MCKEESPORT,2021,8,1
11TH WARD  - MCKEESPORT,2021,9,0
11TH WARD  - MCKEESPORT,2021,10,1
11TH WARD  - MCKEESPORT,2021,11,0
11TH WARD  - MCKEESPORT,2021,12,1
11TH WARD  - MCKEESPORT,2022,1,0
11TH WARD  - MCKEESPORT,2022,2,1
11TH WARD  - MCKEESPORT,2022,3,2
11TH WARD  - MCKEESPORT,2022,4,0
11TH WARD  - MCKEESPORT,2022,5,1
11TH WARD  - MCKEESPORT,2022,6,1
11TH WARD  - MCKEESPORT,2022,7,1
11TH WARD  - MCKEESPORT,2022,8,6
11TH WARD  - MCKEESPORT,2022,9,1
11TH WARD  - MCKEESPORT,2022,10,0
11TH WARD  - MCKEESPORT,2022,11,2
11TH WARD  - MCKEESPORT,2022,12,1
11TH WARD  - MCKEESPORT,2023,1,1
11TH WARD  - MCKEESPORT,2023,2,1
11TH WARD  - MCKEESPORT,2023,3,4
11TH WARD  - MCKEESPORT,2023,4,0
11TH WARD  - MCKEESPORT,2023,5,0
11TH WARD  - MCKEESPORT,2023,6,0
11TH WARD  - MCKEESPORT,2023,7,1
11TH WARD  - MCKEESPORT,2023,8,1
11TH WARD  - MCKEESPORT,2023,9,1
11TH WARD  - MCKEESPORT,2023,10,5
11TH WARD  - MCKEESPORT,2023,11,1
11TH WARD  - MCKEESPORT,2023,12,0
11TH WARD  - MCKEESPORT,2024,1,0
11TH WARD  - MCKEESPORT,2024,2,0
11TH WARD  - MCKEESPORT,2024,3,2
11TH WARD  - MCKEESPORT,2024,4,0
11TH WARD  - MCKEESPORT,2024,5,1
11TH WARD  - MCKEESPORT,2024,6,2
11TH WARD  - MCKEESPORT,2024,7,1
11TH WARD  - MCKEESPORT,2024,8,1
11TH WARD  - MCKEESPORT,2024,9,0
11TH WARD  - MCKEESPORT,2024,10,0
11TH WARD  - MCKEESPORT,2024,11,1
11TH WARD  - MCKEESPORT,2024,12,2
11TH WARD  - MCKEESPORT,2025,1,0
11TH WARD  - MCKEESPORT,2025,2,0
11TH WARD  - MCKEESPORT,2025,3,0
11TH WARD  - MCKEESPORT,2025,4,2
11TH WARD  - MCKEESPORT,2025,5,2
11TH WARD  - MCKEESPORT,2025,6,0
11TH WARD  - MCKEESPORT,2025,7,0
11TH WARD  - MCKEESPORT,2025,8,0
11TH WARD  - MCKEESPORT,2025,9,0
11TH WARD  - MCKEESPORT,2025,10,0
11TH WARD  - MCKEESPORT,2025,11,0
11TH WARD  - MCKEESPORT,2025,12,0
11TH WARD - PITTSBURGH,2012,1,2
11TH WARD - PITTSBURGH,2012,2,4
11TH WARD - PITTSBURGH,2012,3,7
11TH WARD - PITTSBURGH,2012,4,7
11TH WARD - PITTSBURGH,2012,5,9
11TH WARD - PITTSBURGH,2012,6,11
11TH WARD - PITTSBURGH,2012,7,14
11TH WARD - PITTSBURGH,2012,8,12
11TH WARD - PITTSBURGH,2012,9,10
11TH WARD - PITTSBURGH,2012,10,6
11TH WARD - PITTSBURGH,2012,11,0
11TH WARD - PITTSBURGH,2012,12,0
11TH WARD - PITTSBURGH,2013,1,4
11TH WARD - PITTSBURGH,2013,2,2
11TH WARD - PITTSBURGH,2013,3,4
11TH WARD - PITTSBURGH,2013,4,3
11TH WARD - PITTSBURGH,2013,5,3
11TH WARD - PITTSBURGH,2013,6,0
11TH WARD - PITTSBURGH,2013,7,3
11TH WARD - PITTSBURGH,2013,8,5
11TH WARD - PITTSBURGH,2013,9,1
11TH WARD - PITTSBURGH,2013,10,2
11TH WARD - PITTSBURGH,2013,11,4
11TH WARD - PITTSBURGH,2013,12,9
11TH WARD - PITTSBURGH,2014,1,2
11TH WARD - PITTSBURGH,2014,2,2
11TH WARD - PITTSBURGH,2014,3,2
11TH WARD - PITTSBURGH,2014,4,3
11TH WARD - PITTSBURGH,2014,5,3
11TH WARD - PITTSBURGH,2014,6,4
11TH WARD - PITTSBURGH,2014,7,5
11TH WARD - PITTSBURGH,2014,8,6
11TH WARD - PITTSBURGH,2014,9,4
11TH WARD - PITTSBURGH,2014,10,1
11TH WARD - PITTSBURGH,2014,11,1
11TH WARD - PITTSBURGH,2014,12,1
11TH WARD - PITTSBURGH,2015,1,1
11TH WARD - PITTSBURGH,2015,2,1
11TH WARD - PITTSBURGH,2015,3,2
11TH WARD - PITTSBURGH,2015,4,3
11TH WARD - PITTSBURGH,2015,5,1
11TH WARD - PITTSBURGH,2015,6,2
11TH WARD - PITTSBURGH,2015,7,0
11TH WARD - PITTSBURGH,2015,8,1
11TH WARD - PITTSBURGH,2015,9,2
11TH WARD - PITTSBURGH,2015,10,3
11TH WARD - PITTSBURGH,2015,11,1
11TH WARD - PITTSBURGH,2015,12,2
11TH WARD - PITTSBURGH,2016,1,0
11TH WARD - PITTSBURGH,2016,2,0
11TH WARD - PITTSBURGH,2016,3,3
11TH WARD - PITTSBURGH,2016,4,2
11TH WARD - PITTSBURGH,2016,5,2
11TH WARD - PITTSBURGH,2016,6,0
11TH WARD - PITTSBURGH,2016,7,2
11TH WARD - PITTSBURGH,2016,8,4
11TH WARD - PITTSBURGH,2016,9,4
11TH WARD - PITTSBURGH,2016,10,2
11TH WARD - PITTSBURGH,2016,11,1
11TH WARD - PITTSBURGH,2016,12,1
11TH WARD - PITTSBURGH,2017,1,2
11TH WARD - PITTSBURGH,2017,2,1
11TH WARD - PITTSBURGH,2017,3,1
11TH WARD - PITTSBURGH,2017,4,4
11TH WARD - PITTSBURGH,2017,5,6
11TH WARD - PITTSBURGH,2017,6,3
11TH WARD - PITTSBURGH,2017,7,3
11TH WARD - PITTSBURGH,2017,8,1
11TH WARD - PITTSBURGH,2017,9,1
11TH WARD - PITTSBURGH,2017,10,3
11TH WARD - PITTSBURGH,2017,11,1
11TH WARD - PITTSBURGH,2017,12,3
11TH WARD - PITTSBURGH,2018,1,3
11TH WARD - PITTSBURGH,2018,2,0
11TH WARD - PITTSBURGH,2018,3,3
11TH WARD - PITTSBURGH,2018,4,0
11TH WARD - PITTSBURGH,2018,5,1
11TH WARD - PITTSBURGH,2018,6,6
11TH WARD - PITTSBURGH,2018,7,10
11TH WARD - PITTSBURGH,2018,8,10
11TH WARD - PITTSBURGH,2018,9,4
11TH WARD - PITTSBURGH,2018,10,1
11TH WARD - PITTSBURGH,2018,11,2
11TH WARD - PITTSBURGH,2018,12,1
11TH WARD - PITTSBURGH,2019,1,0
11TH WARD - PITTSBURGH,2019,2,0
11TH WARD - PITTSBURGH,2019,3,1
