MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD -  MCKEESPORT,2019,12,,,0
10TH WARD -  MCKEESPORT,2020,1,,,0
10TH WARD -  MCKEESPORT,2020,2,14.224446032880628,14.224446032880628,1
10TH WARD -  MCKEESPORT,2020,3,33.840947546531304,33.840947546531304,1
10TH WARD -  MCKEESPORT,2020,4,,,0
10TH WARD -  MCKEESPORT,2020,5,,,0
10TH WARD -  MCKEESPORT,2020,6,,,0
10TH WARD -  MCKEESPORT,2020,7,,,0
10TH WARD -  MCKEESPORT,2020,8,,,0
10TH WARD -  MCKEESPORT,2020,9,,,0
10TH WARD -  MCKEESPORT,2020,10,,,0
10TH WARD -  MCKEESPORT,2020,11,,,0
10TH WARD -  MCKEESPORT,2020,12,,,0
10TH WARD -  MCKEESPORT,2021,1,,,0
10TH WARD -  MCKEESPORT,2021,2,,,0
10TH WARD -  MCKEESPORT,2021,3,,,0
10TH WARD -  MCKEESPORT,2021,4,,,0
10TH WARD -  MCKEESPORT,2021,5,18.328445747800583,18.328445747800583,1
10TH WARD -  MCKEESPORT,2021,6,,,0
10TH WARD -  MCKEESPORT,2021,7,,,0
10TH WARD -  MCKEESPORT,2021,8,,,0
10TH WARD -  MCKEESPORT,2021,9,,,0
10TH WARD -  MCKEESPORT,2021,10,,,0
10TH WARD -  MCKEESPORT,2021,11,,,0
10TH WARD -  MCKEESPORT,2021,12,6.313131313131313,6.313131313131313,1
10TH WARD -  MCKEESPORT,2022,1,58.6881868131868,58.6881868131868,2
10TH WARD -  MCKEESPORT,2022,2,,,0
10TH WARD -  MCKEESPORT,2022,3,,,0
10TH WARD -  MCKEESPORT,2022,4,,,0
10TH WARD -  MCKEESPORT,2022,5,,,0
10TH WARD -  MCKEESPORT,2022,6,,,0
10TH WARD -  MCKEESPORT,2022,7,,,0
10TH WARD -  MCKEESPORT,2022,8,,,0
10TH WARD -  MCKEESPORT,2022,9,,,0
10TH WARD -  MCKEESPORT,2022,10,,,0
10TH WARD -  MCKEESPORT,2022,11,17.142857142857142,17.142857142857142,1
10TH WARD -  MCKEESPORT,2022,12,81.48148148148148,81.48148148148148,1
10TH WARD -  MCKEESPORT,2023,1,,,0
10TH WARD -  MCKEESPORT,2023,2,,,0
10TH WARD -  MCKEESPORT,2023,3,,,0
10TH WARD -  MCKEESPORT,2023,4,,,0
10TH WARD -  MCKEESPORT,2023,5,,,0
10TH WARD -  MCKEESPORT,2023,6,,,0
10TH WARD -  MCKEESPORT,2023,7,,,0
10TH WARD -  MCKEESPORT,2023,8,24.339360222531297,24.339360222531297,1
