MUNIDESC,SALE_YEAR,annual_sale_count
16TH WARD - PITTSBURGH,2018,40
16TH WARD - PITTSBURGH,2019,21
16TH WARD - PITTSBURGH,2020,37
16TH WARD - PITTSBURGH,2021,48
16TH WARD - PITTSBURGH,2022,54
16TH WARD - PITTSBURGH,2023,65
16TH WARD - PITTSBURGH,2024,58
16TH WARD - PITTSBURGH,2025,20
17TH WARD - PITTSBURGH,2012,97
17TH WARD - PITTSBURGH,2013,36
17TH WARD - PITTSBURGH,2014,18
17TH WARD - PITTSBURGH,2015,20
17TH WARD - PITTSBURGH,2016,34
17TH WARD - PITTSBURGH,2017,35
17TH WARD - PITTSBURGH,2018,47
17TH WARD - PITTSBURGH,2019,30
17TH WARD - PITTSBURGH,2020,53
17TH WARD - PITTSBURGH,2021,85
17TH WARD - PITTSBURGH,2022,73
17TH WARD - PITTSBURGH,2023,64
17TH WARD - PITTSBURGH,2024,63
17TH WARD - PITTSBURGH,2025,23
18TH WARD - PITTSBURGH,2012,51
18TH WARD - PITTSBURGH,2013,30
18TH WARD - PITTSBURGH,2014,8
18TH WARD - PITTSBURGH,2015,5
18TH WARD - PITTSBURGH,2016,17
18TH WARD - PITTSBURGH,2017,17
18TH WARD - PITTSBURGH,2018,22
18TH WARD - PITTSBURGH,2019,24
18TH WARD - PITTSBURGH,2020,10
18TH WARD - PITTSBURGH,2021,29
18TH WARD - PITTSBURGH,2022,38
18TH WARD - PITTSBURGH,2023,34
18TH WARD - PITTSBURGH,2024,32
18TH WARD - PITTSBURGH,2025,21
19TH WARD - PITTSBURGH,2012,259
19TH WARD - PITTSBURGH,2013,163
19TH WARD - PITTSBURGH,2014,89
19TH WARD - PITTSBURGH,2015,98
19TH WARD - PITTSBURGH,2016,148
19TH WARD - PITTSBURGH,2017,134
19TH WARD - PITTSBURGH,2018,161
19TH WARD - PITTSBURGH,2019,97
19TH WARD - PITTSBURGH,2020,167
19TH WARD - PITTSBURGH,2021,177
19TH WARD - PITTSBURGH,2022,274
19TH WARD - PITTSBURGH,2023,238
19TH WARD - PITTSBURGH,2024,267
19TH WARD - PITTSBURGH,2025,98
1ST WARD  - DUQUESNE,2012,12
1ST WARD  - DUQUESNE,2013,3
1ST WARD  - DUQUESNE,2014,2
1ST WARD  - DUQUESNE,2015,2
1ST WARD  - DUQUESNE,2017,2
1ST WARD  - DUQUESNE,2019,4
1ST WARD  - DUQUESNE,2020,1
1ST WARD  - DUQUESNE,2021,4
1ST WARD  - DUQUESNE,2022,8
1ST WARD  - DUQUESNE,2023,3
1ST WARD  - DUQUESNE,2024,8
1ST WARD  - DUQUESNE,2025,6
1ST WARD  - PITTSBURGH,2012,13
1ST WARD  - PITTSBURGH,2013,10
1ST WARD  - PITTSBURGH,2014,5
1ST WARD  - PITTSBURGH,2015,1
1ST WARD  - PITTSBURGH,2016,7
1ST WARD  - PITTSBURGH,2017,5
1ST WARD  - PITTSBURGH,2018,8
1ST WARD  - PITTSBURGH,2019,7
1ST WARD  - PITTSBURGH,2020,3
1ST WARD  - PITTSBURGH,2021,8
1ST WARD  - PITTSBURGH,2022,11
1ST WARD  - PITTSBURGH,2023,11
1ST WARD  - PITTSBURGH,2024,11
1ST WARD  - PITTSBURGH,2025,3
1ST WARD - CLAIRTON,2012,9
1ST WARD - CLAIRTON,2013,6
1ST WARD - CLAIRTON,2014,2
1ST WARD - CLAIRTON,2015,4
1ST WARD - CLAIRTON,2016,7
1ST WARD - CLAIRTON,2017,5
1ST WARD - CLAIRTON,2018,4
1ST WARD - CLAIRTON,2019,8
1ST WARD - CLAIRTON,2020,7
1ST WARD - CLAIRTON,2021,17
1ST WARD - CLAIRTON,2022,25
1ST WARD - CLAIRTON,2023,15
1ST WARD - CLAIRTON,2024,9
1ST WARD - CLAIRTON,2025,3
20TH WARD - PITTSBURGH,2012,116
20TH WARD - PITTSBURGH,2013,59
20TH WARD - PITTSBURGH,2014,18
20TH WARD - PITTSBURGH,2015,38
20TH WARD - PITTSBURGH,2016,43
20TH WARD - PITTSBURGH,2017,37
20TH WARD - PITTSBURGH,2018,62
20TH WARD - PITTSBURGH,2019,43
20TH WARD - PITTSBURGH,2020,51
