MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
18TH WARD - PITTSBURGH,1501–2000,9.776253021765536,7.160199106054449,11.091498908363576,12,2012
18TH WARD - PITTSBURGH,2001–2500,7.732898080544374,7.83754441565293,4.073323338367695,6,2012
18TH WARD - PITTSBURGH,2501–3000,212.18343600273784,212.18343600273784,,1,2012
19TH WARD - PITTSBURGH,0–1000,77.08683617804337,70.85714285714286,44.445145223909606,31,2012
19TH WARD - PITTSBURGH,1001–1500,61.839852237895194,58.62068965517241,42.99837636776575,125,2012
19TH WARD - PITTSBURGH,1501–2000,59.66779984665391,48.19277108433735,53.557904057021794,81,2012
19TH WARD - PITTSBURGH,2001–2500,70.69651816329137,36.46358222629409,82.61215032892078,23,2012
19TH WARD - PITTSBURGH,2501–3000,46.78997515063384,25.902015489420503,54.957029989690945,6,2012
19TH WARD - PITTSBURGH,3001+,31.909232771967,24.829581993569132,24.81805651615702,4,2012
1ST WARD  - DUQUESNE,0–1000,22.82157676348548,22.82157676348548,,1,2012
1ST WARD  - DUQUESNE,1001–1500,14.939049615419322,12.15277777777778,14.26389578955049,5,2012
1ST WARD  - DUQUESNE,1501–2000,16.8389381002751,17.59259259259259,13.30225667156055,7,2012
1ST WARD  - DUQUESNE,2001–2500,1.362637362637363,1.362637362637363,,1,2012
1ST WARD  - PITTSBURGH,0–1000,7.894996059889677,8.51063829787234,4.149349033382374,3,2012
1ST WARD  - PITTSBURGH,1001–1500,239.94850465438702,239.94850465438702,48.877058156883535,2,2012
1ST WARD  - PITTSBURGH,1501–2000,158.93496446971048,140.14014014014015,159.39996483719932,3,2012
1ST WARD  - PITTSBURGH,2001–2500,97.56619074010736,16.442307692307693,141.98752369481193,3,2012
1ST WARD  - PITTSBURGH,2501–3000,34.04164116706821,34.04164116706821,6.73033327769544,2,2012
1ST WARD  - PITTSBURGH,3001+,20.670572916666668,20.670572916666668,,1,2012
1ST WARD - CLAIRTON,0–1000,25.27417349938873,23.478485964104927,11.983509367816128,4,2012
1ST WARD - CLAIRTON,1001–1500,29.912309250740105,28.49544072948328,25.875548154746117,3,2012
1ST WARD - CLAIRTON,1501–2000,20.016414141414142,20.016414141414142,2.8516402261487794,2,2012
1ST WARD - CLAIRTON,2001–2500,7.427385892116183,7.427385892116183,,1,2012
20TH WARD - PITTSBURGH,0–1000,73.33784143726267,74.82142857142857,41.096188473926496,16,2012
